area_name,latitude,longitude,radius,risk_score,risk_level
Ajni,21.121272985074626,79.08090508208954,500,37.9,Low
Besa,21.08898168439108,79.06974503430531,500,55.0,Medium
Dharampeth,21.154930596226414,79.0651369,500,100.0,High
Hingna,21.06947592378753,79.01810086836028,500,40.8,Low
Hudkeshwar,21.139265691943127,79.1090935521327,500,39.8,Low
Jaripatka,21.170345048245615,79.08223404385964,500,43.0,Low
Kalamna,21.158895113402064,79.11020862886598,500,45.8,Medium
Koradi,21.19233824407583,79.0501346279621,500,39.8,Low
Mahal,21.15042086633663,79.09562164851485,500,38.1,Low
Manish Nagar,21.114049155905512,79.05372718425197,500,59.9,Medium
Mankapur,21.178610548009367,79.0577309531616,500,40.3,Low
Mominpura,21.147428320093457,79.09082509579439,500,40.4,Low
Nandanvan,21.13107917412935,79.10661887810944,500,37.9,Low
Pardi,21.13525039805825,79.11828023786407,500,38.9,Low
Pratap Nagar,21.108945935023772,79.06067073058637,500,59.5,Medium
Sadar,21.161182481262326,79.08023039053253,500,95.7,High
Sitabuldi,21.145158367,79.088938671,500,94.3,High
Wardha Road,21.1007316171875,79.050629890625,500,36.2,Low
